,Topics,Alpha,Beta,Auto Coherence Umass,Intra/Inter Similarity word2vec10 1st version,Intra/Inter Similarity word2vec20 1st version,Intra/Inter Similarity word2vecGoogle 1st version,Intra/Inter Similarity word2vec10 2nd version,Intra/Inter Similarity word2vec20 2nd version,Intra/Inter Similarity word2vecGoogle 2nd version,NumberOfWordsNotInGoogleW2v,Topic Distance JS,Auto Coherence without pretrained,Auto Coherence with word2vec10,Auto Coherence with word2vec20,Auto Coherence with word2vecGoogle
93,24,symmetric,0.31,-2.9513755103190937,1.21392820515343,1.2005823362533383,0.7335560779773896,1.1024346508269431,1.0952362397769342,1.0111916851499625,"(5, 346)",0.7982488883937084,0.7376194,0.509801,0.4909432,0.61710113
94,24,symmetric,0.61,-3.481084131074645,1.198093848322429,1.1843865276913244,0.72864375330061,1.0926443499354224,1.0853480575016192,1.0103712275117112,"(5, 354)",0.8013075933072663,0.7183624,0.48670492,0.46716347,0.6088855
95,24,symmetric,symmetric,-3.2623203209539144,1.211381544931889,1.2005805373680132,0.7277383674499669,1.0989176241811205,1.0923661476417772,1.010079959963428,"(5, 356)",0.8046328961877708,0.7261924,0.5012309,0.48357144,0.6116883
96,24,asymmetric,0.01,-3.2142797541048345,1.2055016496527076,1.1932331210665157,0.7259750598934209,1.0974854548231787,1.0909260623781716,1.0099907078770018,"(5, 355)",0.798952564719654,0.7269466,0.49725625,0.47988173,0.6079761
97,24,asymmetric,0.31,-3.359743489251207,1.1915878305679062,1.1813787529398716,0.7212829411650723,1.093877581963549,1.0873063587241787,1.008152597607665,"(5, 345)",0.798544195725787,0.723586,0.49070385,0.47245204,0.60637623
98,24,asymmetric,0.61,-3.486638035033069,1.2090574873444813,1.1981079989443375,0.7292451264152265,1.097424285841173,1.090585781771083,1.01018867070784,"(5, 353)",0.8017180516652129,0.7250063,0.49456897,0.47657165,0.61550856
99,24,asymmetric,symmetric,-3.305117964381259,1.208220219748278,1.1965607141085033,0.7213165486632998,1.0963611760197451,1.0896203514428269,1.0076831775095645,"(5, 353)",0.8045413764653503,0.7164119,0.4910358,0.47327742,0.6095577
100,26,0.01,0.01,-3.618938581181076,1.1917130167306649,1.1809308665247047,0.729214789009771,1.093444835081353,1.0867872291367138,1.011114759614823,"(6, 387)",0.8009215828095361,0.71998036,0.48766914,0.4693735,0.6142437
101,26,0.01,0.31,-3.793544360640679,1.1946488745839752,1.182206103596205,0.7226026866343391,1.0913049572197222,1.0847140272338622,1.0087793500681133,"(5, 378)",0.8002239137016299,0.7131456,0.48049757,0.46281305,0.60553914
102,26,0.01,0.61,-3.2823903866283795,1.2097707116833352,1.1950718806271647,0.7337054560153405,1.099095472167247,1.091656625735984,1.011061505411151,"(1, 380)",0.799635133569984,0.727202,0.5003234,0.4815089,0.61610186
